product_id,product_name,category,price,cost,supplier
P001,iPhone 15,Smartphones,69999,58000,Supplier A
P002,Samsung Galaxy S24,Smartphones,74999,61000,Supplier B
P003,OnePlus 12,Smartphones,59999,49000,Supplier C
P004,Redmi Note 13,Smartphones,18999,14500,Supplier D
P005,MacBook Air M3,Laptops,114999,97000,Supplier A
P006,Dell Inspiron,Laptops,65999,54000,Supplier B
P007,HP Pavilion,Laptops,62999,51000,Supplier C
P008,Lenovo IdeaPad,Laptops,55999,45000,Supplier D
P009,Samsung 55 TV,Television,64999,52000,Supplier A
P010,LG 43 TV,Television,44999,36000,Supplier B
P011,Sony Bluetooth Speaker,Audio,8999,6500,Supplier C
P012,JBL Headphones,Audio,5999,4200,Supplier D
P013,Apple AirPods,Audio,14999,11000,Supplier A
P014,Nike Air Max,Footwear,12999,8500,Supplier B
P015,Adidas Running Shoes,Footwear,9999,6500,Supplier C
P016,Puma Sneakers,Footwear,7999,5200,Supplier D
P017,Levi's Jeans,Clothing,4999,3000,Supplier A
P018,Allen Solly Shirt,Clothing,2999,1800,Supplier B
P019,Wildcraft Backpack,Accessories,3499,2200,Supplier C
P020,Casio Watch,Accessories,4999,3200,Supplier D
